workID,DESCR,X,Y,Shape_Length,Shape_Area
239117,Commercial/Mixed Use,546441.246,5279790.678,8.124022811,3.89307972
239129,Manufacturing/Industrial,545651.8634,5279674.116,18.73964652,21.79077876
239171,Commercial/Mixed Use,544857.3099,5279559.779,8.725300001,4.374300936
239172,Commercial/Mixed Use,544630.3156,5279909.286,14.05683593,7.430563935
239186,Commercial/Mixed Use,547428.9563,5279706.575,22.07909255,30.01622786
239187,Commercial/Mixed Use,547479.8774,5279704.515,13.3177499,11.05250974
239188,Manufacturing/Industrial,546909.1558,5279522.708,8.333076796,3.870122369
239285,Commercial/Mixed Use,545935.9351,5280274.607,7.981668628,2.865294678
239286,Commercial/Mixed Use,546000.1202,5280274.638,9.841688551,2.99149071
239297,Commercial/Mixed Use,546748.0591,5280946.422,8.159158472,4.007012695
239334,Commercial/Mixed Use,546752.7961,5281439.977,6.29889651,2.155432124
239335,Commercial/Mixed Use,546740.089,5281621.17,8.426607552,2.88820365
239465,Commercial/Mixed Use,544582.8682,5280097.795,9.691760949,5.668052512
239506,Manufacturing/Industrial,548399.836,5277855.371,25.44603391,18.61253435
239509,Commercial/Mixed Use,548038.0514,5278166.484,13.98856513,10.76358552
239537,Commercial/Mixed Use,548033.9902,5278160.262,14.67196146,11.50619156
239539,Manufacturing/Industrial,546859.3069,5279090.501,13.49436974,11.19919911
239541,Commercial/Mixed Use,547777.7826,5278517.61,12.78530985,9.835751788
239687,Commercial/Mixed Use,547633.9241,5280501.38,18.23320262,19.49099572
239693,Commercial/Mixed Use,547873.1778,5280466.082,13.03047953,10.24446683
239718,Commercial/Mixed Use,546799.4647,5281243.531,10.5545945,6.055675601
239719,Commercial/Mixed Use,546810.0442,5281246.284,8.026310769,2.959682575
239720,Commercial/Mixed Use,546789.9407,5281162.01,6.285944996,2.220897639
239721,Commercial/Mixed Use,546797.858,5281117.019,6.772808817,1.899248338
239722,Commercial/Mixed Use,546804.8305,5281108.124,7.12057215,2.03779343
239851,Commercial/Mixed Use,551270.1999,5279576.457,15.22317851,4.239610502
239860,Commercial/Mixed Use,551152.8883,5280388.674,14.20843533,7.063543896
239861,Commercial/Mixed Use,551176.3083,5280443.078,24.29457521,36.46122836
239868,Commercial/Mixed Use,551681.2463,5280542.804,9.429550957,5.420627911
239920,Commercial/Mixed Use,551251.1184,5281031.782,16.89156868,14.57078006
239955,Commercial/Mixed Use,552297.6409,5280487.437,11.4850655,7.182552569
239995,Commercial/Mixed Use,551367.99,5278569.061,9.19305496,4.983972251
240009,Commercial/Mixed Use,551280.6309,5279467.547,20.0302579,16.46733065
240010,Commercial/Mixed Use,551272.8224,5279484.381,21.12896991,19.45596241
240015,Commercial/Mixed Use,551275.0755,5280119.007,8.02929126,3.939937624
240031,Commercial/Mixed Use,551374.6301,5279133.667,11.3992813,6.110667749
240035,Commercial/Mixed Use,551182.8769,5278726.319,11.35008313,4.602780117
240043,Commercial/Mixed Use,552889.1207,5279333.183,15.09343132,10.93679138
240155,Commercial/Mixed Use,554403.8708,5279635.47,11.64848184,7.631807009
240401,Commercial/Mixed Use,551248.9695,5281357.089,12.38847609,9.569147431
240456,Manufacturing/Industrial,546708.3209,5279122.347,8.140374274,3.454095402
240457,Manufacturing/Industrial,546691.656,5279160.418,14.36749491,10.49038315
240461,Manufacturing/Industrial,546651.2165,5279151.926,20.85137808,20.78895456
240593,Commercial/Mixed Use,548354.9814,5280743.633,24.42039763,32.32879939
240687,Commercial/Mixed Use,544805.7292,5279594.401,9.999966772,6.235066272
240714,Commercial/Mixed Use,548428.7389,5281182.596,18.44598121,18.93361728
240779,Manufacturing/Industrial,550811.3979,5278018.045,28.37425062,48.27861274
240845,Commercial/Mixed Use,551469.956,5281597.486,18.5355921,20.45338286
241344,Commercial/Mixed Use,552807.6524,5279729.472,28.83593188,36.78337
242022,Commercial/Mixed Use,555174.9519,5280310.532,196.0780972,266.7602291
242293,Commercial/Mixed Use,551173.08,5280425.311,19.63285653,23.99082525
242294,Commercial/Mixed Use,551112.0155,5278937.016,38.87245235,60.08620973
242295,Commercial/Mixed Use,551240.1664,5278460.053,33.29998343,60.32557335
242370,Commercial/Mixed Use,551219.8561,5279421.19,154.6845579,284.1123441
242391,Commercial/Mixed Use,552290.4977,5280461.708,27.79412288,35.26848077
242446,Commercial/Mixed Use,551262.2532,5280999.227,20.70908085,27.99667224
242460,Commercial/Mixed Use,552453.4077,5281278.193,24.03257906,24.92768398
242511,Commercial/Mixed Use,551432.8515,5280551.033,20.17159661,20.44665698
242512,Commercial/Mixed Use,551499.2014,5280550.611,15.84086424,10.51095744
242578,Commercial/Mixed Use,552432.9803,5279375.142,31.7583098,41.59911924
242704,Commercial/Mixed Use,548348.977,5281664.855,15.33021007,13.50627562
242801,Commercial/Mixed Use,548416.6381,5280630.144,18.80645482,18.80939948
242987,Manufacturing/Industrial,548215.4186,5277885.065,18.12197017,14.40213374
243168,Commercial/Mixed Use,544403.6541,5280366.462,95.60858034,290.1397249
243263,Commercial/Mixed Use,546009.5953,5280494.829,102.4064473,185.5331697
243269,Commercial/Mixed Use,545937.8929,5280436.193,113.2940057,188.1821035
243341,Commercial/Mixed Use,546343.4734,5280501.104,100.903582,210.2892311
243701,Commercial/Mixed Use,544453.5478,5280217.808,53.71957585,76.3747319
243764,Commercial/Mixed Use,547285.0668,5279635.137,24.33619643,20.06820116
243772,Commercial/Mixed Use,547521.7289,5279631.207,16.37083637,15.259177
243778,Commercial/Mixed Use,547304.0395,5279635.64,24.2159375,18.29018125
243786,Commercial/Mixed Use,544628.663,5279893.137,30.84591194,46.53993477
243789,Commercial/Mixed Use,544741.8071,5279642.819,18.47706907,16.91493223
243793,Commercial/Mixed Use,544731.5884,5279653.36,18.53726818,19.38819691
243852,Commercial/Mixed Use,544606.6029,5279910.437,44.62647591,41.93842599
243874,Commercial/Mixed Use,547270.2295,5279697.038,15.39264952,10.38135182
243875,Commercial/Mixed Use,547315.0637,5279635.96,28.50592426,20.91541138
243887,Commercial/Mixed Use,544721.0376,5279663.525,17.7500836,15.10176472
243950,Commercial/Mixed Use,548417.9917,5281192.299,19.45320834,18.26441077
243952,Commercial/Mixed Use,548434.542,5281191.698,23.67675662,26.91298346
244011,Commercial/Mixed Use,548434.6015,5281004.806,30.96061935,45.79750955
244012,Commercial/Mixed Use,548419.1101,5280864.499,43.63172147,73.68803711
244232,Commercial/Mixed Use,550584.2329,5280780.927,287.751291,471.9641925
244262,Commercial/Mixed Use,551178.5969,5280709.003,17.71616645,15.34567601
244289,Commercial/Mixed Use,549398.1891,5278346.037,28.54061949,47.22647905
244290,Manufacturing/Industrial,548950.9639,5277372.172,94.42196195,403.2959009
244294,Manufacturing/Industrial,548902.4663,5277386.755,62.05290819,162.1378971
244323,Commercial/Mixed Use,548828.6535,5278747.439,16.02446921,11.02912756
244331,Commercial/Mixed Use,549343.9597,5278576.024,39.18977545,81.54124995
244336,Commercial/Mixed Use,549224.9672,5277533.537,20.53353728,23.26441405
244362,Commercial/Mixed Use,550367.9445,5278895.675,57.00478678,46.60319932
244393,Commercial/Mixed Use,549535.448,5278842.971,43.40736711,41.75808796
244406,Manufacturing/Industrial,550746.3594,5278006.892,37.72099046,83.11190115
244410,Manufacturing/Industrial,550077.9935,5277136.823,88.96555914,300.3951759
244466,Commercial/Mixed Use,549804.959,5278215.479,14.79905184,10.86499993
244485,Manufacturing/Industrial,550048.0648,5277143.659,68.81758888,180.8679866
244530,Commercial/Mixed Use,548433.5979,5279980.12,96.35711676,193.3512954
